Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.7184,Sat Sep 15 08:02:07 +0000 2018,0.273,0.727,0.0,"Commuters applying make-up is a major source of irritation to some train passengers. 

But what's the problem, and… https://t.co/8mJ0XKWGH1",40,@BBC
0.5859,Sat Sep 15 07:32:04 +0000 2018,0.0,0.787,0.213,'Flower-vase hair' is the latest beauty trend you didn't know you wanted. 💐💁 https://t.co/aE4jL21UWD https://t.co/HA783PBpLt,41,@BBC
-0.2263,Sat Sep 15 07:03:03 +0000 2018,0.095,0.905,0.0,"'Some mothers would bawl for days'. 🐮🥛

This dairy farmer has stopped taking calves away from their mothers.

https://t.co/COEsnRrHMD",42,@BBC
0.0,Fri Sep 14 20:02:09 +0000 2018,0.0,1.0,0.0,"Hugh Dennis and @daraobriain look back at the week's news with @tomallencomedy, @MrEdByrne, @rhysjamesy,… https://t.co/yCq4Hp7p7r",43,@BBC
0.0,Fri Sep 14 18:03:05 +0000 2018,0.0,1.0,0.0,"A celebration of the critically acclaimed female singers who, decade by decade, changed the world one note at a tim… https://t.co/tJoOLgqCFT",44,@BBC
0.0,Fri Sep 14 16:14:47 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: Friday night, as brought to you by Jose Mourinho 🍻🥂🕺🤢 https://t.co/ybHzwXtvvt",45,@BBC
0.0,Fri Sep 14 16:02:00 +0000 2018,0.0,1.0,0.0,Actual footage of my weekend plans... 😴 #FridayFeeling https://t.co/ur7TezLIWn,46,@BBC
0.0,Fri Sep 14 15:02:09 +0000 2018,0.0,1.0,0.0,"Gin + collagen = collagin! 🍸

Could this gin make you look younger? 🤷 #DragonsDen

https://t.co/WoLuk1qE2r",47,@BBC
0.34,Fri Sep 14 14:45:34 +0000 2018,0.092,0.76,0.148,"RT @BBCFOUR: Amy Winehouse changed the landscape of modern pop culture, achieving both critical acclaim and global success. Here, she talks…",48,@BBC
0.3612,Fri Sep 14 13:57:04 +0000 2018,0.0,0.889,0.111,"“Where the listener or reader expects a name, the brain pauses, and you can slide whatever you like into that gap.”… https://t.co/OzIuOJvT8e",49,@BBC
0.0,Fri Sep 14 13:02:05 +0000 2018,0.0,1.0,0.0,"Today would have been Amy Winehouse's 35th Birthday. ❤️️

What's your favourite Amy track?

https://t.co/w9zbzGhFpm",50,@BBC
0.0,Fri Sep 14 11:03:02 +0000 2018,0.0,1.0,0.0,"'Without fungi, ecosystems would collapse'. 🍄🌱

Scientists think that fungi could break down plastic! 🔬♻️

https://t.co/JrPYTaeMYO",51,@BBC
-0.4767,Fri Sep 14 10:03:04 +0000 2018,0.194,0.806,0.0,"This man reported his 5-year-old-son missing after his ex-partner stopped him seeing him. 

What happened next is u… https://t.co/sIAVUrJxWg",52,@BBC
0.0,Fri Sep 14 09:15:42 +0000 2018,0.0,1.0,0.0,RT @bbc5live: This was @Rachael_Hodges final podcast recording with @bowelbabe and @GIRLSTOLELONDON - and they're talking ‘About The New No…,53,@BBC
0.0,Fri Sep 14 09:04:05 +0000 2018,0.0,1.0,0.0,"What does the S on Superman's chest stand for? (Hint: It's not Super!) 😂 #QI

https://t.co/9YIvz5nUNV",54,@BBC
-0.0935,Fri Sep 14 08:03:01 +0000 2018,0.137,0.742,0.121,"Iron-deficiency anaemia is the world's most common nutritional disorder.

Here's how to ensure you get enough iron… https://t.co/susxAfvdNI",55,@BBC
-0.4588,Fri Sep 14 07:32:01 +0000 2018,0.143,0.857,0.0,"A mother who was forced to stand while breastfeeding on a crowded train, has urged people to show ""common courtesy""… https://t.co/7QmDpmiH8G",56,@BBC
0.0,Thu Sep 13 19:08:05 +0000 2018,0.0,1.0,0.0,"You'll never look at University in the same way again... 😂
 #QI

https://t.co/5S0bCZKvZT",57,@BBC
0.6114,Thu Sep 13 17:04:06 +0000 2018,0.0,0.6,0.4,"Happy birthday @NiallOfficial, never change! 🎈🇮🇪

https://t.co/VjE3e26tb9",58,@BBC
0.4199,Thu Sep 13 16:03:14 +0000 2018,0.0,0.872,0.128,"RT @BBCR1: 🎉 Tickets for the #R1TeenAwards are ON SALE NOW! 🎉

Go here for tickets 👉 https://t.co/BsVVX86K4J

Get ready for performances fr…",59,@BBC
0.457,Thu Sep 13 16:03:03 +0000 2018,0.113,0.688,0.199,"It's impossible to watch this without laughing! 😂

A Scottish Granny has gone viral after she REALLY enjoyed readin… https://t.co/rGzHqvqOSj",60,@BBC
0.3818,Thu Sep 13 15:03:07 +0000 2018,0.0,0.822,0.178,These stunning photographs capture life on the coast of Britain. 📷🌊 https://t.co/F4KhfftK5f https://t.co/bIeniftu8e,61,@BBC
0.8104,Thu Sep 13 14:03:03 +0000 2018,0.115,0.527,0.358,"""I love writing and reading about horrible people. They are much more fun than nice people."" 

Roald Dahl discusses… https://t.co/a1UjqXSvYq",62,@BBC
0.5994,Thu Sep 13 11:02:03 +0000 2018,0.0,0.822,0.178,"What happens to your body when you beatbox? 🔊💀

Scientists put beatbox champion @_GraceSavage through an MRI scanne… https://t.co/ltQ78Q0U6g",63,@BBC
0.0,Thu Sep 13 10:30:00 +0000 2018,0.0,1.0,0.0,"The coral triangle in south-east Asia is home to more marine species than anywhere else. 

But it’s also home to an… https://t.co/DPrkXRhdzD",64,@BBC
0.5106,Thu Sep 13 09:04:08 +0000 2018,0.116,0.612,0.272,Outstanding in their fields: these scarecrows are incredible. 👏🌳 https://t.co/2oQpyhVF8o https://t.co/4sL0xUAFHc,65,@BBC
0.5719,Thu Sep 13 08:04:03 +0000 2018,0.0,0.73,0.27,"This wonderful woman rehabilitates animals for a living. ❤️️



(Via @BBCThree)


https://t.co/vr8ikmTsbJ",66,@BBC
0.4688,Thu Sep 13 07:31:07 +0000 2018,0.0,0.831,0.169,"What a paw-trait! 🐶📸 These photographs prove that dogs really do look like their owners. 

👉 https://t.co/8dARVaIdP9 https://t.co/A39cl3LQgw",67,@BBC
0.6369,Thu Sep 13 06:59:04 +0000 2018,0.0,0.698,0.302,"🎶🏖What it's like raving in a wheelchair on the party island of Ibiza. 

https://t.co/gQmhDNpZx2 https://t.co/jNfX5Go0tT",68,@BBC
0.6114,Thu Sep 13 06:03:01 +0000 2018,0.0,0.826,0.174,Think it's impossible to draw a perfect circle? Think again! All you need is a couple of pens and a paperclip... 😲… https://t.co/0BTSrCRZX0,69,@BBC
0.9136,Wed Sep 12 19:03:07 +0000 2018,0.0,0.542,0.458,"Inspired by actual events, Trust delves into the trials and triumphs of one of America's wealthiest and unhappiest… https://t.co/mwSoUz00kc",70,@BBC
0.1511,Wed Sep 12 17:03:07 +0000 2018,0.146,0.671,0.183,"What a treat! @stephenfry and @MichaelRosenYes discuss their mutual obsession with language. 

📻👉… https://t.co/UlYCeDzYZz",71,@BBC
0.3612,Wed Sep 12 16:04:01 +0000 2018,0.0,0.828,0.172,"✏️📖If you ever see a question like this on an exam... RUN. 😂
￼
 #MockTheWeek

https://t.co/qLX02EBwuD",72,@BBC
-0.25,Wed Sep 12 15:02:02 +0000 2018,0.093,0.854,0.053,Elle lost her son Teddy soon after he was born. She wants to challenge the idea that a person can only be considere… https://t.co/7MBjJU6AFA,73,@BBC
-0.296,Wed Sep 12 14:03:05 +0000 2018,0.152,0.742,0.105,American singer Charlie Puth says he tried to get Mac Miller clean and sober before the rapper's death last week.… https://t.co/d3a3aKtyhg,74,@BBC
0.5574,Wed Sep 12 13:08:06 +0000 2018,0.0,0.841,0.159,😂@Scott_Mills and @Chris_Stark put “the funniest man in British sport” @petercrouch to the test by getting him to t… https://t.co/ldUXyI50Kx,75,@BBC
0.5719,Wed Sep 12 12:29:07 +0000 2018,0.0,0.783,0.217,"In the 1950s, when #PrincessMargaret wanted to marry ""a commoner,"" the British public were surprisingly keen on the… https://t.co/o5u2vFgVtZ",76,@BBC
0.2975,Wed Sep 12 11:32:05 +0000 2018,0.0,0.784,0.216,"""It's sorta like Crufts for project managers.” 😂

https://t.co/fWqUSMfh1D 

https://t.co/OGyrFSfULW",77,@BBC
-0.4767,Wed Sep 12 10:14:06 +0000 2018,0.129,0.871,0.0,"Of all the things that could happen to a person, there's few things that could be worse….

The Cry: coming soon to… https://t.co/Ifph2SY3U3",78,@BBC
0.4215,Wed Sep 12 09:15:11 +0000 2018,0.0,0.865,0.135,RT @bbcpress: ✨🎤✨ YouTube star and online influencer @anna_maynard announced as new presenter of @CBBC talent show #GotWhatItTakes: https:/…,79,@BBC
0.0,Wed Sep 12 09:02:01 +0000 2018,0.0,1.0,0.0,"🐻🍁This year's #Autumnwatch will take the team to New England, bringing you the most spectacular of seasons in four… https://t.co/lFI4SoY2yL",80,@BBC
0.128,Wed Sep 12 08:01:07 +0000 2018,0.096,0.786,0.118,"🍔""My son's getting clean protein… and no cholesterol.”

Meet the dad who feeds his son burgers almost every day.… https://t.co/OCCcPs1EDy",81,@BBC
0.0,Wed Sep 12 07:31:00 +0000 2018,0.0,1.0,0.0,"Every year 640,000 tonnes of plastic from the fishing industry enters the sea. 🎣

♻️But there’s nowhere in the UK i… https://t.co/V8Hcc4L02V",82,@BBC
-0.0772,Wed Sep 12 06:55:06 +0000 2018,0.123,0.769,0.108,"🚗🎨 Meet James, aka Vanksy, a gas engineer who creates art from the dirt left on vehicles 🖌

https://t.co/mhofR4xyH2",83,@BBC
